Region,Sub region,Country,Indicator,Year of Date.Report,Month of Date.Report,Max. Sort.Order,Value
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2019,December,361,2
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2019,December,360,2
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2019,November,361,3
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2019,November,360,3
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2019,October,361,0
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2019,October,360,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,August,361,4
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,August,360,4
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,July,361,2
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,July,360,2
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,June,361,5
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,June,360,5
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,May,361,5
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,May,360,5
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,April,361,4
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,April,360,4
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,March,361,4
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,March,360,4
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,February,361,2
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,February,360,2
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,0
Africa,Sub-Saharan Africa,ESWATINI,Cyber-related Fraud : number of offences,2020,January,361,3
Africa,Sub-Saharan Africa,ESWATINI,Cybercrime - number of offences,2020,January,360,3
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2019,December,360,2569
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2019,November,360,2415
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2019,October,360,2199
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,August,360,3609
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,July,360,4133
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,June,360,3155
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,May,360,3708
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,April,360,3764
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,March,360,2127
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,February,360,2537
Americas,Latin America and the Caribbean,COLOMBIA,Cybercrime - number of offences,2020,January,360,2587
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,14
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related Fraud : number of offences,2019,December,361,3
Americas,Latin America and the Caribbean,GUATEMALA,Cybercrime - number of offences,2019,December,360,17
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,23
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related Fraud : number of offences,2019,November,361,18
Americas,Latin America and the Caribbean,GUATEMALA,Cybercrime - number of offences,2019,November,360,41
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,27
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related Fraud : number of offences,2019,October,361,20
Americas,Latin America and the Caribbean,GUATEMALA,Cybercrime - number of offences,2019,October,360,47
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,7
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related Fraud : number of offences,2020,April,361,7
Americas,Latin America and the Caribbean,GUATEMALA,Cybercrime - number of offences,2020,April,360,14
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,12
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related Fraud : number of offences,2020,March,361,4
Americas,Latin America and the Caribbean,GUATEMALA,Cybercrime - number of offences,2020,March,360,16
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,28
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related Fraud : number of offences,2020,February,361,7
Americas,Latin America and the Caribbean,GUATEMALA,Cybercrime - number of offences,2020,February,360,35
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,12
Americas,Latin America and the Caribbean,GUATEMALA,Cyber-related Fraud : number of offences,2020,January,361,5
Americas,Latin America and the Caribbean,GUATEMALA,Cybercrime - number of offences,2020,January,360,17
Americas,Latin America and the Caribbean,GUYANA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related Fraud : number of offences,2019,December,361,0
Americas,Latin America and the Caribbean,GUYANA,Cybercrime - number of offences,2019,December,360,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related Fraud : number of offences,2019,November,361,0
Americas,Latin America and the Caribbean,GUYANA,Cybercrime - number of offences,2019,November,360,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related Fraud : number of offences,2019,October,361,0
Americas,Latin America and the Caribbean,GUYANA,Cybercrime - number of offences,2019,October,360,2
Americas,Latin America and the Caribbean,GUYANA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related Fraud : number of offences,2020,April,361,0
Americas,Latin America and the Caribbean,GUYANA,Cybercrime - number of offences,2020,April,360,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related Fraud : number of offences,2020,March,361,0
Americas,Latin America and the Caribbean,GUYANA,Cybercrime - number of offences,2020,March,360,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related Fraud : number of offences,2020,February,361,0
Americas,Latin America and the Caribbean,GUYANA,Cybercrime - number of offences,2020,February,360,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,0
Americas,Latin America and the Caribbean,GUYANA,Cyber-related Fraud : number of offences,2020,January,361,0
Americas,Latin America and the Caribbean,GUYANA,Cybercrime - number of offences,2020,January,360,1
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2019,December,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2019,November,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2019,October,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,21
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,August,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,36
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,July,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,37
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,June,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,17
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,May,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,18
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,April,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,March,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,February,361,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,0
Americas,Latin America and the Caribbean,PARAGUAY,Cyber-related Fraud : number of offences,2020,January,361,0
Americas,Latin America and the Caribbean,THE BAHAMAS,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,11
